address,city,state,zip,owner_name,foreclosure,pre_foreclosure,tax_delinquent,vacant,bankruptcy,absentee_owner
"123 Main St","Miami","FL","33139","John Doe","yes","no","yes","no","no","yes"
"456 Oak Ave","Miami","FL","33140","Jane Smith","no","yes","no","yes","no","no"
"789 Elm Dr","Miami Beach","FL","33141","Bob Johnson","yes","no","yes","yes","no","yes"
"321 Pine St","Coral Gables","FL","33142","Alice Williams","no","no","yes","no","yes","yes"
"654 Maple Blvd","Miami","FL","33143","Charlie Brown","yes","yes","yes","yes","yes","yes"
"987 Cedar Way","Miami","FL","33144","Diana Prince","no","no","no","yes","no","yes"
"147 Birch Ln","Miami","FL","33145","Edward Jones","yes","no","no","no","no","no"
"258 Willow Ct","Miami Beach","FL","33146","Frank Miller","no","yes","yes","no","no","yes"
"369 Spruce Ave","Miami","FL","33147","Grace Lee","yes","yes","yes","yes","no","yes"
"741 Ash Dr","Coral Gables","FL","33148","Henry Wilson","no","no","yes","yes","yes","no"
